,stop_code,stop_name,stop_lat,stop_lon,geometry
0,103021,Mission Rec Exchange Bay A,49.83712,-119.48059,POINT (-119.48059 49.83712)
1,103079,Orchard Park Exchange Bay G,49.88008,-119.44231,POINT (-119.44231 49.88008)
2,103022,Mission Rec Exchange Bay B,49.83693,-119.48062,POINT (-119.48062 49.83693)
3,102859,Queensway Exchange Bay E,49.88726,-119.49432,POINT (-119.49432 49.88726)
4,103077,Orchard Park Exchange Bay H,49.87962,-119.44228,POINT (-119.44228 49.87962)
5,103072,Orchard Park Exchange Bay D,49.88065,-119.44234,POINT (-119.44234 49.88065)
6,103193,Rutland Exchange Bay A,49.89064,-119.39239,POINT (-119.39239 49.89064)
7,103363,Rutland Rd S at Gray Rd,49.88848,-119.38698,POINT (-119.38698 49.88848)
8,103023,Mission Rec Exchange Bay C,49.8366,-119.48062,POINT (-119.48062 49.8366)
9,102861,Queensway Exchange Bay C,49.88726,-119.49483,POINT (-119.49483 49.88726)
10,990000,Kelowna Transit Centre,49.88611,-119.44785,POINT (-119.44785 49.88611)
11,103069,Orchard Park Exchange Bay A,49.88025,-119.44247,POINT (-119.44247 49.88025)
12,103430,McCurdy Rd E at Craig Rd,49.90185,-119.37751,POINT (-119.37751 49.90185)
13,140005,Westbank Exchange Bay B,49.82934,-119.63103,POINT (-119.63103 49.82934)
14,102855,Queensway Exchange Bay I,49.88738,-119.49449,POINT (-119.49449 49.88738)
15,102856,Queensway Exchange Bay H,49.88739,-119.49419,POINT (-119.49419 49.88739)
16,103327,Fitzpatrick Rd at Findlay Rd,49.90721,-119.39684,POINT (-119.39684 49.90721)
17,140103,UBCO Exchange Bay D,49.93935,-119.39373,POINT (-119.39373 49.93935)
18,140101,UBCO Exchange Bay B,49.93943,-119.39406,POINT (-119.39406 49.93943)
19,103030,Okanagan College Exchange Bay B,49.86105,-119.47988,POINT (-119.47988 49.86105)
20,140098,UBCO Exchange,49.93991,-119.39456,POINT (-119.39456 49.93991)
21,102860,Queensway Exchange Bay D,49.88726,-119.4946,POINT (-119.4946 49.88726)
22,102854,Queensway Exchange Bay J,49.88738,-119.49474,POINT (-119.49474 49.88738)
23,140006,Westbank Exchange Bay C,49.82876,-119.63088,POINT (-119.63088 49.82876)
24,102853,Queensway Exchange Bay B,49.88742,-119.4959,POINT (-119.4959 49.88742)
25,102862,Queensway Exchange Bay A,49.88742,-119.49615,POINT (-119.49615 49.88742)
26,140102,UBCO Exchange Bay C,49.93938,-119.39387,POINT (-119.39387 49.93938)
27,140010,Boucherie Mountain Exchange Bay D,49.86154,-119.58522,POINT (-119.58522 49.86154)
28,103472,Main St at Grant Cres,50.0273,-119.40354,POINT (-119.40354 50.0273)
29,140099,UBCO Exchange Bay A,49.93929,-119.39492,POINT (-119.39492 49.93929)
30,140011,Boucherie Mountain Exchange Bay E,49.86139,-119.58522,POINT (-119.58522 49.86139)
31,103016,South Pandosy Exchange Bay A,49.8604,-119.49115,POINT (-119.49115 49.8604)
32,140081,Shoreline Dr at Stillwater Way,50.06856,-119.42013,POINT (-119.42013 50.06856)
33,103070,Orchard Park Exchange Bay B,49.88041,-119.44248,POINT (-119.44248 49.88041)
34,103061,Harvey Ave at Cooper Stn - Orchard Park,49.88202,-119.44467,POINT (-119.44467 49.88202)
35,140004,Westbank Exchange Bay A,49.82865,-119.63102,POINT (-119.63102 49.82865)
36,103054,K.L.O. Rd at St Amand Rd,49.86108,-119.4663,POINT (-119.4663 49.86108)
37,140104,UBCO Exchange Bay E,49.93999,-119.39437,POINT (-119.39437 49.93999)
38,140009,Boucherie Mountain Exchange Bay C,49.86198,-119.58509,POINT (-119.58509 49.86198)
39,103067,Harvey Ave at Cooper Stn - Orchard Park,49.88176,-119.44216,POINT (-119.44216 49.88176)
40,103075,Orchard Park Exchange Bay F,49.88037,-119.44234,POINT (-119.44234 49.88037)
41,103071,Orchard Park Exchange Bay C,49.88056,-119.44248,POINT (-119.44248 49.88056)
42,103378,Hwy 33 E at Sadler Rd,49.88894,-119.38603,POINT (-119.38603 49.88894)
43,140148,Rutland Exchange Bay B,49.89065,-119.39187,POINT (-119.39187 49.89065)
44,140149,Rutland Exchange Bay C,49.89065,-119.39082,POINT (-119.39082 49.89065)
45,140100,UBCO Exchange,49.93948,-119.39427,POINT (-119.39427 49.93948)
46,102857,Queensway Exchange Bay G,49.88736,-119.49393,POINT (-119.49393 49.88736)
47,140151,Rutland Exchange Bay E,49.89056,-119.3918,POINT (-119.3918 49.89056)
48,140165,Boucherie Mountain Exchange Bay F,49.86222,-119.58388,POINT (-119.58388 49.86222)
49,140214,Westbank Exchange Bay E,49.82962,-119.63043,POINT (-119.63043 49.82962)
50,103041,Glenmore Rd at Summit Dr,49.90187,-119.45352,POINT (-119.45352 49.90187)
51,103028,Okanagan College Exchange Bay A,49.86127,-119.47932,POINT (-119.47932 49.86127)
52,140023,Gordon Dr at Laurier Ave,49.88237,-119.47716,POINT (-119.47716 49.88237)
53,102868,Water St at Leon Ave,49.88467,-119.49665,POINT (-119.49665 49.88467)
54,102881,Pandosy St at Buckland Ave,49.88166,-119.4951,POINT (-119.4951 49.88166)
55,102896,Pandosy St at Sutherland Ave,49.87905,-119.49294,POINT (-119.49294 49.87905)
56,102914,Pandosy St at Cadder Ave,49.87589,-119.4913,POINT (-119.4913 49.87589)
57,102928,Kelowna General Hospital Bay A,49.87391,-119.49134,POINT (-119.49134 49.87391)
58,102952,Pandosy St at Morrison Ave,49.86934,-119.49134,POINT (-119.49134 49.86934)
59,102961,Pandosy St at Patterson Ave,49.86803,-119.49133,POINT (-119.49133 49.86803)
60,102976,Pandosy St at Raymer Ave,49.86571,-119.49129,POINT (-119.49129 49.86571)
61,102982,Pandosy St at Groves Ave,49.86339,-119.49129,POINT (-119.49129 49.86339)
62,140244,K.L.O. Rd at Richter St,49.86196,-119.48878,POINT (-119.48878 49.86196)
63,103020,K.L.O. Rd at Casorso Rd,49.86093,-119.48492,POINT (-119.48492 49.86093)
64,102999,Lakeshore Rd at Cedar Ave,49.86167,-119.49131,POINT (-119.49131 49.86167)
65,103025,South Pandosy Exchange Bay B,49.86026,-119.49128,POINT (-119.49128 49.86026)
66,103062,Lakeshore Rd at Richter St,49.85481,-119.49002,POINT (-119.49002 49.85481)
67,103093,Lakeshore Rd at Bechard Rd,49.85151,-119.48697,POINT (-119.48697 49.85151)
68,103119,Lakeshore Rd at Barrera Rd,49.84868,-119.48634,POINT (-119.48634 49.84868)
69,103139,Lakeshore Rd at Cook Rd,49.84517,-119.48784,POINT (-119.48784 49.84517)
70,103152,Lakeshore Rd at Truswell Rd,49.84381,-119.48795,POINT (-119.48795 49.84381)
71,103185,Lakeshore Rd at Bluebird Rd,49.84032,-119.48865,POINT (-119.48865 49.84032)
72,103342,4100 Blk Lakeshore Rd,49.83785,-119.48796,POINT (-119.48796 49.83785)
73,103801,Lequime Rd at Gordon Dr,49.8356,-119.48437,POINT (-119.48437 49.8356)
74,103800,Lequime Rd at Gordon Dr,49.83559,-119.48483,POINT (-119.48483 49.83559)
75,103214,Lakeshore Rd at Lequime Rd,49.83651,-119.48721,POINT (-119.48721 49.83651)
76,103188,Lakeshore Rd at Lexington Dr,49.84046,-119.48847,POINT (-119.48847 49.84046)
77,103151,Lakeshore Rd at Truswell Rd,49.84396,-119.48769,POINT (-119.48769 49.84396)
78,103133,Lakeshore Rd at Cook Rd,49.84624,-119.48736,POINT (-119.48736 49.84624)
79,103113,Lakeshore Rd at Barrera Rd,49.84894,-119.48617,POINT (-119.48617 49.84894)
80,103091,Lakeshore Rd at Bechard Rd,49.85151,-119.48683,POINT (-119.48683 49.85151)
81,140243,Lakeshore Rd at Richter St,49.85482,-119.48989,POINT (-119.48989 49.85482)
82,103044,Lakeshore Rd at Lanfranco Rd,49.85714,-119.49113,POINT (-119.49113 49.85714)
83,102995,Pandosy St at K.L.O. Rd,49.86229,-119.49117,POINT (-119.49117 49.86229)
84,102984,Pandosy St at Groves Ave,49.86394,-119.49115,POINT (-119.49115 49.86394)
85,140053,Pandosy St at Osprey Ave,49.86579,-119.49115,POINT (-119.49115 49.86579)
86,102956,Pandosy St at Patterson Ave,49.8686,-119.49115,POINT (-119.49115 49.8686)
87,102930,Kelowna General Hospital Bay C,49.87353,-119.49118,POINT (-119.49118 49.87353)
88,102910,Pandosy St at Cadder Ave,49.87673,-119.49122,POINT (-119.49122 49.87673)
89,102892,Pandosy St at Sutherland Ave,49.8797,-119.49357,POINT (-119.49357 49.8797)
90,102883,Pandosy St at Buckland Ave,49.88135,-119.49494,POINT (-119.49494 49.88135)
91,102869,Water St at Leon Ave,49.8842,-119.49635,POINT (-119.49635 49.8842)
92,102865,Water St at Doyle Ave,49.88923,-119.49651,POINT (-119.49651 49.88923)
93,102870,Water St at Cawston Ave,49.89209,-119.49652,POINT (-119.49652 49.89209)
94,140233,Ellis St at Clement Ave,49.89404,-119.49347,POINT (-119.49347 49.89404)
95,102888,Ellis St at Industrial Ave,49.89581,-119.49349,POINT (-119.49349 49.89581)
96,102901,Ellis St at Recreation Ave,49.89799,-119.49346,POINT (-119.49346 49.89799)
97,102911,Ellis St at Roanoke Ave,49.89957,-119.49347,POINT (-119.49347 49.89957)
98,102919,Ellis St at Okanagan Blvd,49.90105,-119.49342,POINT (-119.49342 49.90105)
99,102924,Ellis St at Oxford Ave,49.90187,-119.49319,POINT (-119.49319 49.90187)
100,102932,Cambridge Ave at Ellis St,49.9035,-119.4924,POINT (-119.4924 49.9035)
101,102934,Cambridge Ave at Kingsway,49.90348,-119.49063,POINT (-119.49063 49.90348)
102,102935,Richter St at Cambridge Ave,49.90303,-119.48852,POINT (-119.48852 49.90303)
103,102922,Richter St at Okanagan Blvd,49.90119,-119.48853,POINT (-119.48853 49.90119)
104,102913,Richter St at Bay Ave,49.89928,-119.48853,POINT (-119.48853 49.89928)
105,102895,Richter St at Gaston Ave,49.89568,-119.48854,POINT (-119.48854 49.89568)
106,102885,Richter St at Clement Ave,49.89321,-119.48854,POINT (-119.48854 49.89321)
107,102879,Richter St at Wilson Ave,49.89102,-119.48855,POINT (-119.48855 49.89102)
108,102875,Richter St at Lawrence Ave,49.88563,-119.48856,POINT (-119.48856 49.88563)
109,103076,Enterprise Way at Cooper Rd,49.88322,-119.44167,POINT (-119.44167 49.88322)
110,103102,Dilworth Dr at Enterprise Way,49.88451,-119.43764,POINT (-119.43764 49.88451)
111,103099,Dilworth Dr at Leckie Rd,49.887,-119.43767,POINT (-119.43767 49.887)
112,103123,Dilworth Dr at Omineca Pl,49.89152,-119.43264,POINT (-119.43264 49.89152)
113,103147,Dilworth Dr at Cascade Pl,49.89277,-119.42812,POINT (-119.42812 49.89277)
114,103172,1000 Blk Dilworth Dr,49.89653,-119.426,POINT (-119.426 49.89653)
115,103170,Summit Dr at Dilworth Dr,49.8988,-119.4268,POINT (-119.4268 49.8988)
