route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
3-SQU,3253,2458875:6627495:6631131,Valleycliffe,11146,6631131,1
1-SQU,3253,2458894:6627505:6631131,Downtown,11275,6631131,0
3-SQU,3132,2460285:6627506:6631074,Valleycliffe,11146,6631074,1
2-SQU,2375,2458806:6627531:6631072,Downtown,11257,6631072,0
2-SQU,2375,2458801:6627532:6631216,Downtown,11257,6631216,0
1-SQU,3253,2458898:6627537:6631230,Brackendale,11233,6631230,1
1-SQU,3253,2458895:6627563:6631169,Brackendale,11233,6631169,1
9-SQU,3132,2460326:6627568:6631074,University,25287,6631074,1
1-SQU,2375,2458856:6627593:6631078,Downtown,11275,6631078,0
1-SQU,2375,2458833:6627616:6631205,Brackendale,11159,6631205,1
2-SQU,2375,2458829:6627631:6631058,Downtown,11257,6631058,0
3-SQU,2375,2458789:6627632:6631058,Valleycliffe,11146,6631058,1
9-SQU,3132,2460263:6627642:6631135,University,25287,6631135,1
9-SQU,3132,2460279:6627646:6631055,Downtown,25288,6631055,0
2-SQU,2375,2458821:6627662:6631058,Highlands - Via University,25269,6631058,1
1-SQU,3132,2460299:6627664:6631055,Downtown,11275,6631055,0
3-SQU,3132,2460307:6627673:6631074,Valleycliffe,11146,6631074,1
1-SQU,2375,2458819:6627691:6631216,Downtown,11275,6631216,0
3-SQU,2375,2458793:6627702:6631058,Valleycliffe,11146,6631058,1
1-SQU,3132,2460240:6627717:6631153,Downtown,11275,6631153,0
3-SQU,3132,2460266:6627724:6631229,Valleycliffe,11146,6631229,1
2-SQU,3132,2460282:6627730:6631229,Highlands,11252,6631229,1
1-SQU,2375,2458781:6627755:6631058,Downtown,11275,6631058,0
1-SQU,2375,2458786:6627765:6631058,Brackendale,11233,6631058,1
1-SQU,3132,2460292:6627778:6631066,Downtown,11275,6631066,0
1-SQU,2375,2458845:6627779:6631078,Downtown,11275,6631078,0
3-SQU,3201,2460350:6627783:6631170,Valleycliffe,11146,6631170,1
3-SQU,3211,2460350:6627783:6631235,Valleycliffe,11146,6631235,1
9-SQU,3132,2460296:6627790:6631246,Downtown,25288,6631246,0
3-SQU,3253,2458909:6627806:6631230,Valleycliffe,11146,6631230,1
1-SQU,3132,2460248:6627817:6631050,Brackendale,11233,6631050,1
3-SQU,2375,2458790:6627837:6631065,Valleycliffe,11146,6631065,1
1-SQU,2375,2458857:6627843:6631078,Downtown,11275,6631078,0
4-SQU,3132,2460319:6627861:6631066,Downtown,11328,6631066,0
9-SQU,3132,2460280:6627865:6631055,University,25287,6631055,1
1-SQU,3201,2460344:6627882:6631170,Brackendale,11233,6631170,1
1-SQU,3211,2460344:6627882:6631235,Brackendale,11233,6631235,1
1-SQU,2375,2458814:6627918:6631216,Brackendale,11233,6631216,1
1-SQU,2375,2458782:6627944:6631058,Downtown,11275,6631058,0
2-SQU,3132,2460314:6627959:6631074,Downtown,11257,6631074,0
3-SQU,3201,2460305:6627965:6631170,Valleycliffe,11146,6631170,1
3-SQU,3211,2460305:6627965:6631235,Valleycliffe,11146,6631235,1
1-SQU,3132,2460237:6627969:6631153,Brackendale,11233,6631153,1
1-SQU,2375,2458784:6628002:6631072,Brackendale,11233,6631072,1
2-SQU,3253,2458883:6628007:6631082,Highlands - Via University,25269,6631082,1
9-SQU,3132,2460294:6628058:6631246,Downtown,25288,6631246,0
3-SQU,3132,2460238:6628070:6631050,Valleycliffe,11146,6631050,1
9-SQU,3132,2460253:6628086:6631246,Downtown,25288,6631246,0
2-SQU,3132,2460235:6628101:6631066,Highlands - Via University,25269,6631066,1
2-SQU,3253,2458897:6628128:6631169,Downtown,11257,6631169,0
1-SQU,3201,2460353:6628148:6631170,Brackendale,11233,6631170,1
1-SQU,3211,2460353:6628148:6631235,Brackendale,11233,6631235,1
3-SQU,2375,2458788:6628154:6631072,Valleycliffe,11146,6631072,1
3-SQU,3253,2458919:6628176:6631131,Valleycliffe,11146,6631131,1
1-SQU,3253,2458887:6628197:6631131,Downtown,11275,6631131,0
2-SQU,2375,2458842:6628212:6631072,Highlands - Via University,25269,6631072,1
2-SQU,3211,2460355:6628230:6631235,Highlands - Via University,25269,6631235,1
2-SQU,2375,2458798:6628253:6631065,Highlands - Via University,25269,6631065,1
1-SQU,2375,2458820:6628258:6631058,Downtown,11275,6631058,0
3-SQU,3253,2458892:6628260:6631169,Valleycliffe,11146,6631169,1
2-SQU,2375,2458831:6628265:6631205,Downtown,11257,6631205,0
1-SQU,2375,2458813:6628295:6631216,Brackendale,11233,6631216,1
3-SQU,2375,2458792:6628296:6631205,Valleycliffe,11146,6631205,1
1-SQU,3132,2460338:6628312:6631135,Downtown,11275,6631135,0
2-SQU,2375,2458840:6628315:6631072,Downtown,11257,6631072,0
3-SQU,3132,2460230:6628348:6631153,Valleycliffe,11146,6631153,1
1-SQU,2375,2458847:6628350:6631078,Brackendale,11233,6631078,1
2-SQU,3253,2458925:6628363:6631082,Highlands - Via University,25269,6631082,1
2-SQU,3132,2460234:6628396:6631050,Downtown,11257,6631050,0
2-SQU,3253,2458906:6628403:6631131,Downtown,11257,6631131,0
2-SQU,2375,2458832:6628407:6631216,Downtown,11257,6631216,0
4-SQU,3132,2460251:6628420:6631066,Downtown,11328,6631066,0
9-SQU,3132,2460242:6628439:6631246,University,25287,6631246,1
3-SQU,3132,2460332:6628446:6631055,Valleycliffe,11146,6631055,1
