trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2458875:6627495:6631131,09:30:00,09:30:00,102738,1,0,,0,0,1
2458875:6627495:6631131,09:31:00,09:31:00,102736,2,266,,0,0,0
2458875:6627495:6631131,09:32:00,09:32:00,102730,3,585,,0,0,0
2458875:6627495:6631131,09:32:00,09:32:00,102731,4,818,,0,0,0
2458875:6627495:6631131,09:33:00,09:33:00,102734,5,1108,,0,0,1
2458875:6627495:6631131,09:36:00,09:36:00,102706,6,2709,,0,0,1
2458875:6627495:6631131,09:37:00,09:37:00,134040,7,2990,,0,0,0
2458875:6627495:6631131,09:37:00,09:37:00,102743,8,3187,,0,0,0
2458875:6627495:6631131,09:38:00,09:38:00,102750,9,3610,,0,0,1
2458875:6627495:6631131,09:38:00,09:38:00,134015,10,3831,,0,0,0
2458875:6627495:6631131,09:39:00,09:39:00,102744,11,4016,,0,0,0
2458875:6627495:6631131,09:39:00,09:39:00,102739,12,4410,,0,0,0
2458875:6627495:6631131,09:40:00,09:40:00,102705,13,4799,,0,0,0
2458875:6627495:6631131,09:41:00,09:41:00,102747,14,5349,,0,0,0
2458875:6627495:6631131,09:41:00,09:41:00,102753,15,5712,,0,0,0
2458875:6627495:6631131,09:42:00,09:42:00,102758,16,6054,,0,0,0
2458875:6627495:6631131,09:43:00,09:43:00,134000,17,6405,,0,0,0
2458875:6627495:6631131,09:43:00,09:43:00,102762,18,6639,,0,0,1
2458875:6627495:6631131,09:43:00,09:43:00,102759,19,6850,,0,0,0
2458875:6627495:6631131,09:44:00,09:44:00,102757,20,7217,,0,0,0
2458875:6627495:6631131,09:45:00,09:45:00,102749,21,7468,,0,0,0
2458875:6627495:6631131,09:46:00,09:46:00,102748,22,7766,,0,0,0
2458875:6627495:6631131,09:47:00,09:47:00,102740,23,8310,,0,0,0
2458875:6627495:6631131,09:50:00,09:50:00,102733,24,9746,,0,0,1
2458875:6627495:6631131,09:52:00,09:52:00,102729,25,10252,,0,0,0
2458875:6627495:6631131,09:54:00,09:54:00,102738,26,10906,,0,0,1
2458894:6627505:6631131,19:07:00,19:07:00,102829,1,0,,0,0,1
2458894:6627505:6631131,19:08:00,19:08:00,102831,2,585,,0,0,0
2458894:6627505:6631131,19:09:00,19:09:00,102830,3,1673,,0,0,0
2458894:6627505:6631131,19:10:00,19:10:00,102826,4,2024,,0,0,1
2458894:6627505:6631131,19:11:00,19:11:00,102824,5,2404,,0,0,0
2458894:6627505:6631131,19:11:00,19:11:00,102822,6,2786,,0,0,0
2458894:6627505:6631131,19:12:00,19:12:00,102817,7,3298,,0,0,0
2458894:6627505:6631131,19:13:00,19:13:00,102815,8,3612,,0,0,0
2458894:6627505:6631131,19:13:00,19:13:00,102808,9,3897,,0,0,0
2458894:6627505:6631131,19:16:00,19:16:00,102798,10,5086,,0,0,0
2458894:6627505:6631131,19:16:00,19:16:00,134031,11,5393,,0,0,0
2458894:6627505:6631131,19:17:00,19:17:00,134046,12,5880,,0,0,1
2458894:6627505:6631131,19:17:00,19:17:00,102792,13,5996,,0,0,0
2458894:6627505:6631131,19:17:00,19:17:00,102785,14,6197,,0,0,0
2458894:6627505:6631131,19:18:00,19:18:00,102780,15,6514,,0,0,1
2458894:6627505:6631131,19:22:00,19:22:00,102769,16,8540,,0,0,1
2458894:6627505:6631131,19:24:00,19:24:00,102774,17,9592,,0,0,0
2458894:6627505:6631131,19:25:00,19:25:00,134026,18,9893,,0,0,0
2458894:6627505:6631131,19:25:00,19:25:00,102770,19,10121,,0,0,0
2458894:6627505:6631131,19:26:00,19:26:00,134024,20,10694,,0,0,0
2458894:6627505:6631131,19:27:00,19:27:00,134034,21,11193,,0,0,1
2458894:6627505:6631131,19:27:00,19:27:00,102763,22,11477,,0,0,0
2458894:6627505:6631131,19:28:00,19:28:00,102761,23,11899,,0,0,0
2458894:6627505:6631131,19:29:00,19:29:00,102754,24,12481,,0,0,0
2458894:6627505:6631131,19:30:00,19:30:00,102751,25,12711,,0,0,0
2458894:6627505:6631131,19:30:00,19:30:00,102742,26,13043,,0,0,0
2458894:6627505:6631131,19:31:00,19:31:00,134022,27,13569,,0,0,1
2458894:6627505:6631131,19:33:00,19:33:00,102729,28,14174,,0,0,0
2458894:6627505:6631131,19:35:00,19:35:00,102738,29,14828,,0,0,1
2460285:6627506:6631074,14:55:00,14:55:00,102738,1,0,,0,0,1
2460285:6627506:6631074,14:56:00,14:56:00,102736,2,266,,0,0,0
2460285:6627506:6631074,14:57:00,14:57:00,102730,3,585,,0,0,0
2460285:6627506:6631074,14:57:00,14:57:00,102731,4,818,,0,0,0
2460285:6627506:6631074,14:58:00,14:58:00,102734,5,1108,,0,0,1
2460285:6627506:6631074,15:01:00,15:01:00,102706,6,2709,,0,0,1
2460285:6627506:6631074,15:02:00,15:02:00,134040,7,2990,,0,0,0
2460285:6627506:6631074,15:02:00,15:02:00,102743,8,3187,,0,0,0
2460285:6627506:6631074,15:03:00,15:03:00,102750,9,3610,,0,0,1
2460285:6627506:6631074,15:03:00,15:03:00,134015,10,3831,,0,0,0
2460285:6627506:6631074,15:04:00,15:04:00,102744,11,4016,,0,0,0
2460285:6627506:6631074,15:05:00,15:05:00,102739,12,4410,,0,0,0
2460285:6627506:6631074,15:05:00,15:05:00,102705,13,4799,,0,0,0
2460285:6627506:6631074,15:06:00,15:06:00,102747,14,5349,,0,0,0
2460285:6627506:6631074,15:07:00,15:07:00,102753,15,5712,,0,0,0
2460285:6627506:6631074,15:08:00,15:08:00,102758,16,6054,,0,0,0
2460285:6627506:6631074,15:09:00,15:09:00,134000,17,6405,,0,0,0
2460285:6627506:6631074,15:09:00,15:09:00,102762,18,6639,,0,0,1
2460285:6627506:6631074,15:10:00,15:10:00,102759,19,6850,,0,0,0
2460285:6627506:6631074,15:10:00,15:10:00,102757,20,7217,,0,0,0
2460285:6627506:6631074,15:11:00,15:11:00,102749,21,7468,,0,0,0
2460285:6627506:6631074,15:12:00,15:12:00,102748,22,7766,,0,0,0
2460285:6627506:6631074,15:13:00,15:13:00,102740,23,8310,,0,0,0
2460285:6627506:6631074,15:17:00,15:17:00,102733,24,9746,,0,0,1
2460285:6627506:6631074,15:19:00,15:19:00,102729,25,10252,,0,0,0
2460285:6627506:6631074,15:22:00,15:22:00,102738,26,10906,,0,0,1
2458806:6627531:6631072,20:48:00,20:48:00,102813,1,0,,0,0,1
2458806:6627531:6631072,20:48:00,20:48:00,102811,2,193,,0,0,0
2458806:6627531:6631072,20:49:00,20:49:00,102809,3,472,,0,0,0
2458806:6627531:6631072,20:49:00,20:49:00,102804,4,698,,0,0,0
2458806:6627531:6631072,20:50:00,20:50:00,102800,5,1079,,0,0,0
2458806:6627531:6631072,20:52:00,20:52:00,102787,6,1900,,0,0,0
2458806:6627531:6631072,20:52:00,20:52:00,102784,7,2250,,0,0,0
2458806:6627531:6631072,20:54:00,20:54:00,102792,8,3103,,0,0,0
2458806:6627531:6631072,20:54:00,20:54:00,102785,9,3304,,0,0,0
2458806:6627531:6631072,20:55:00,20:55:00,102780,10,3621,,0,0,1
2458806:6627531:6631072,20:56:00,20:56:00,134030,11,4138,,0,0,0
2458806:6627531:6631072,20:57:00,20:57:00,102776,12,4603,,0,0,0
2458806:6627531:6631072,20:59:00,20:59:00,102769,13,5874,,0,0,1
2458806:6627531:6631072,21:01:00,21:01:00,102774,14,6926,,0,0,0
2458806:6627531:6631072,21:02:00,21:02:00,134026,15,7227,,0,0,0
2458806:6627531:6631072,21:02:00,21:02:00,102770,16,7455,,0,0,0
2458806:6627531:6631072,21:03:00,21:03:00,134024,17,8028,,0,0,0
2458806:6627531:6631072,21:04:00,21:04:00,134034,18,8527,,0,0,1
2458806:6627531:6631072,21:04:00,21:04:00,102763,19,8811,,0,0,0
2458806:6627531:6631072,21:05:00,21:05:00,102761,20,9233,,0,0,0
2458806:6627531:6631072,21:06:00,21:06:00,102754,21,9815,,0,0,0
2458806:6627531:6631072,21:07:00,21:07:00,102751,22,10045,,0,0,0
2458806:6627531:6631072,21:07:00,21:07:00,102742,23,10377,,0,0,0
2458806:6627531:6631072,21:08:00,21:08:00,134022,24,10903,,0,0,1
2458806:6627531:6631072,21:10:00,21:10:00,102729,25,11508,,0,0,0
2458806:6627531:6631072,21:12:00,21:12:00,102738,26,12162,,0,0,1
2458801:6627532:6631216,15:39:00,15:39:00,102813,1,0,,0,0,1
2458801:6627532:6631216,15:39:00,15:39:00,102811,2,193,,0,0,0
2458801:6627532:6631216,15:40:00,15:40:00,102809,3,472,,0,0,0
2458801:6627532:6631216,15:40:00,15:40:00,102804,4,698,,0,0,0
2458801:6627532:6631216,15:41:00,15:41:00,102800,5,1079,,0,0,0
2458801:6627532:6631216,15:43:00,15:43:00,102787,6,1900,,0,0,0
2458801:6627532:6631216,15:43:00,15:43:00,102784,7,2250,,0,0,0
2458801:6627532:6631216,15:45:00,15:45:00,102792,8,3103,,0,0,0
2458801:6627532:6631216,15:45:00,15:45:00,102785,9,3304,,0,0,0
2458801:6627532:6631216,15:46:00,15:46:00,102780,10,3621,,0,0,1
2458801:6627532:6631216,15:47:00,15:47:00,134030,11,4138,,0,0,0
2458801:6627532:6631216,15:48:00,15:48:00,102776,12,4603,,0,0,0
2458801:6627532:6631216,15:50:00,15:50:00,102769,13,5874,,0,0,1
2458801:6627532:6631216,15:52:00,15:52:00,102774,14,6926,,0,0,0
2458801:6627532:6631216,15:53:00,15:53:00,134026,15,7227,,0,0,0
2458801:6627532:6631216,15:53:00,15:53:00,102770,16,7455,,0,0,0
2458801:6627532:6631216,15:54:00,15:54:00,134024,17,8028,,0,0,0
2458801:6627532:6631216,15:55:00,15:55:00,134034,18,8527,,0,0,1
2458801:6627532:6631216,15:55:00,15:55:00,102763,19,8811,,0,0,0
2458801:6627532:6631216,15:56:00,15:56:00,102761,20,9233,,0,0,0
2458801:6627532:6631216,15:57:00,15:57:00,102754,21,9815,,0,0,0
2458801:6627532:6631216,15:58:00,15:58:00,102751,22,10045,,0,0,0
2458801:6627532:6631216,15:58:00,15:58:00,102742,23,10377,,0,0,0
2458801:6627532:6631216,15:59:00,15:59:00,134022,24,10903,,0,0,1
2458801:6627532:6631216,16:01:00,16:01:00,102729,25,11508,,0,0,0
2458801:6627532:6631216,16:04:00,16:04:00,102738,26,12162,,0,0,1
2458898:6627537:6631230,12:10:00,12:10:00,102738,1,0,,0,0,1
2458898:6627537:6631230,12:11:00,12:11:00,102736,2,266,,0,0,0
2458898:6627537:6631230,12:11:00,12:11:00,102730,3,585,,0,0,0
2458898:6627537:6631230,12:12:00,12:12:00,102731,4,818,,0,0,1
2458898:6627537:6631230,12:13:00,12:13:00,102732,5,1233,,0,0,0
2458898:6627537:6631230,12:13:00,12:13:00,102737,6,1554,,0,0,0
2458898:6627537:6631230,12:14:00,12:14:00,102741,7,1817,,0,0,0
2458898:6627537:6631230,12:14:00,12:14:00,134033,8,2141,,0,0,0
2458898:6627537:6631230,12:15:00,12:15:00,102755,9,2344,,0,0,0
2458898:6627537:6631230,12:16:00,12:16:00,102760,10,2902,,0,0,0
2458898:6627537:6631230,12:16:00,12:16:00,102764,11,3329,,0,0,0
2458898:6627537:6631230,12:17:00,12:17:00,134035,12,3660,,0,0,1
2458898:6627537:6631230,12:17:00,12:17:00,134042,13,3916,,0,0,0
2458898:6627537:6631230,12:18:00,12:18:00,102767,14,4190,,0,0,0
2458898:6627537:6631230,12:19:00,12:19:00,102768,15,4712,,0,0,0
2458898:6627537:6631230,12:20:00,12:20:00,102771,16,5043,,0,0,0
2458898:6627537:6631230,12:20:00,12:20:00,102772,17,5197,,0,0,0
2458898:6627537:6631230,12:20:00,12:20:00,102773,18,5416,,0,0,0
2458898:6627537:6631230,12:22:00,12:22:00,102769,19,6308,,0,0,1
2458898:6627537:6631230,12:25:00,12:25:00,102783,20,8259,,0,0,1
2458898:6627537:6631230,12:26:00,12:26:00,102786,21,8568,,0,0,0
2458898:6627537:6631230,12:27:00,12:27:00,102793,22,8797,,0,0,0
2458898:6627537:6631230,12:27:00,12:27:00,102796,23,8909,,0,0,1
2458898:6627537:6631230,12:28:00,12:28:00,102794,24,9334,,0,0,0
2458898:6627537:6631230,12:29:00,12:29:00,102799,25,9758,,0,0,0
2458898:6627537:6631230,12:30:00,12:30:00,102803,26,10334,,0,0,0
2458898:6627537:6631230,12:31:00,12:31:00,102810,27,10926,,0,0,0
2458898:6627537:6631230,12:31:00,12:31:00,102816,28,11310,,0,0,0
2458898:6627537:6631230,12:32:00,12:32:00,102818,29,11502,,0,0,0
2458898:6627537:6631230,12:32:00,12:32:00,102819,30,11719,,0,0,1
2458898:6627537:6631230,12:33:00,12:33:00,102820,31,12054,,0,0,0
2458898:6627537:6631230,12:33:00,12:33:00,102821,32,12264,,0,0,0
2458898:6627537:6631230,12:34:00,12:34:00,102823,33,12622,,0,0,0
2458898:6627537:6631230,12:35:00,12:35:00,102825,34,12861,,0,0,0
2458898:6627537:6631230,12:36:00,12:36:00,102827,35,13071,,0,0,0
2458898:6627537:6631230,12:36:00,12:36:00,102828,36,13240,,0,0,0
2458898:6627537:6631230,12:37:00,12:37:00,102829,37,13627,,0,0,1
2458895:6627563:6631169,17:35:00,17:35:00,102738,1,0,,0,0,1
2458895:6627563:6631169,17:36:00,17:36:00,102736,2,266,,0,0,0
2458895:6627563:6631169,17:36:00,17:36:00,102730,3,585,,0,0,0
2458895:6627563:6631169,17:37:00,17:37:00,102731,4,818,,0,0,1
2458895:6627563:6631169,17:38:00,17:38:00,102732,5,1233,,0,0,0
