stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
934000,Squamish Transit Centre,49.71727,-123.15336,0,934000
102819,Judd at Eagle Run,49.76057,-123.1457,0,102819
102780,Diamond Head at Mamquam,49.73553,-123.13148,0,102780
102783,Diamond Head at Mamquam,49.7358,-123.13138,0,102783
102738,2nd Ave at Main St,49.69734,-123.15613,0,102738
102736,Cleveland at Victoria,49.69781,-123.15396,0,102736
102730,Cleveland at Winnipeg,49.70024,-123.15191,0,102730
102731,Cleveland at Pemberton,49.702,-123.15045,0,102731
102734,Cleveland at Hunter,49.70382,-123.14793,0,102734
102733,Cleveland at Buckley,49.70401,-123.14812,0,102733
102729,Chieftain Centre,49.70165,-123.15312,0,102729
102829,Brackendale Elementary,49.77058,-123.15325,0,102829
102831,Don Ross Middle School,49.77435,-123.15357,0,102831
102830,42200 Blk Ross Rd,49.76946,-123.14428,0,102830
102826,Ross at Depot,49.76637,-123.14404,0,102826
102824,Depot at Government,49.76604,-123.14857,0,102824
102822,Government at Dryden,49.76342,-123.14695,0,102822
102817,Government at Judd,49.75948,-123.14346,0,102817
102815,Government at Eagle Run,49.75702,-123.14148,0,102815
102808,41000 Blk Government Rd,49.75452,-123.14134,0,102808
102798,Government at Harris,49.74456,-123.13818,0,102798
134031,Government at Garibaldi,49.74191,-123.13744,0,134031
102792,Diamond Head at Hood,49.74014,-123.13156,0,102792
102785,Diamond Head at Kalodon,49.73837,-123.13153,0,102785
102769,Brennan Park,49.72551,-123.14152,0,102769
102774,Government at No Name,49.72972,-123.1495,0,102774
134026,Government at Brothers,49.72928,-123.15356,0,134026
102770,Government at Queens,49.72797,-123.15578,0,102770
134024,Queens Way at Commercial Way,49.7233,-123.15471,0,134024
134034,Walmart,49.72125,-123.15054,0,134034
102763,Discovery at Industrial,49.71872,-123.15053,0,102763
102761,Queens at Industrial,49.71782,-123.15502,0,102761
102754,Buckley at Magee,49.71321,-123.15745,0,102754
102751,Buckley at Madill,49.71137,-123.15624,0,102751
102742,Buckley at Britannia,49.70905,-123.15351,0,102742
134022,Squamish Elementary,49.70458,-123.1513,0,134022
102786,Diamond Head at Kalodon,49.73848,-123.1314,0,102786
102793,Diamond Head at Garibaldi,49.74045,-123.13143,0,102793
102791,Skyline at Garibaldi,49.73922,-123.12507,0,102791
102795,Braemar at Ayr,49.7379,-123.12092,0,102795
102797,Braemar at The Boulevard,49.73992,-123.1188,0,102797
102801,The Boulevard at Kintyre Dr W,49.74024,-123.11508,0,102801
102802,Perth at Thunderbird,49.74075,-123.11013,0,102802
102805,Thunderbird at Glacier View,49.74105,-123.10746,0,102805
102812,Thunderbird at Glacier View,49.74239,-123.10362,0,102812
102814,Glacier View at Thunderbird,49.74413,-123.10508,0,102814
134027,1000 Blk Glacier View Dr,49.74594,-123.10734,0,134027
102807,1100 Blk Glacier View Dr,49.74355,-123.10716,0,102807
102806,Perth at Portree,49.74333,-123.11013,0,102806
102813,Pomona at Perth,49.74732,-123.11044,0,102813
102706,Squamish General Hospital,49.69786,-123.14198,0,102706
134040,Behrner at Hilltop House,49.69994,-123.14019,0,134040
102743,Clarke at Behrner,49.7008,-123.13816,0,102743
102750,Vista at Northridge,49.70343,-123.13709,0,102750
134015,Vista at Smoke Bluff,49.70307,-123.13904,0,134015
102744,Vista at View,49.7018,-123.13754,0,102744
102739,Behrner at Clarke,49.69962,-123.14077,0,102739
102705,Clarke at Behrner,49.69662,-123.14338,0,102705
102747,Guilford at Westway,49.69765,-123.13806,0,102747
102753,Guilford at Magnolia,49.69759,-123.13335,0,102753
102758,Guilford at Maple,49.69872,-123.12913,0,102758
134000,Guilford at Spruce,49.70025,-123.12508,0,134000
102762,Spruce at Chestnut,49.70214,-123.12571,0,102762
102759,Westway at Juniper,49.70316,-123.12728,0,102759
102757,Westway at Maple,49.7016,-123.13167,0,102757
102749,Westway at Cedar,49.7004,-123.13457,0,102749
102748,Westway at Garden,49.69832,-123.13705,0,102748
102740,Guilford at Clarke,49.69626,-123.14301,0,102740
