,stop_code,stop_name,stop_lat,stop_lon,geometry
0,100002,Legislature Exch,48.41974,-123.36901,POINT (-123.36901 48.41974)
1,100003,Legislature Exch Bay D,48.41915,-123.36896,POINT (-123.36896 48.41915)
2,100004,Legislature Exch Bay F,48.4183,-123.36936,POINT (-123.36936 48.4183)
3,100006,Legislature Exch Bay E,48.41827,-123.36807,POINT (-123.36807 48.41827)
4,100008,Superior St at Menzies St,48.41827,-123.37282,POINT (-123.37282 48.41827)
5,100009,Hwy 17 at Elk Lake Dr,48.51371,-123.38442,POINT (-123.38442 48.51371)
6,100010,Douglas St at Courtney St,48.42274,-123.36575,POINT (-123.36575 48.42274)
7,100011,Menzies St at Superior St,48.41785,-123.37265,POINT (-123.37265 48.41785)
8,100012,Douglas St at Blanshard St,48.41923,-123.36589,POINT (-123.36589 48.41923)
9,100013,Menzies St at Michigan St,48.41717,-123.37282,POINT (-123.37282 48.41717)
10,100014,Gordon Head Rd at Arbutus Rd,48.47934,-123.30763,POINT (-123.30763 48.47934)
11,100016,Sooke Rd at Townsend Rd - Sooke Town Ctr,48.37834,-123.72201,POINT (-123.72201 48.37834)
12,100017,Burdett Ave at Douglas St,48.42205,-123.36546,POINT (-123.36546 48.42205)
13,100018,5200 Blk Sooke Rd,48.38903,-123.64285,POINT (-123.64285 48.38903)
14,100019,Douglas St at Courtney St,48.42273,-123.36597,POINT (-123.36597 48.42273)
15,100021,Superior St at Oswego St,48.4194,-123.37605,POINT (-123.37605 48.4194)
16,100022,Menzies St at Michigan St,48.41661,-123.37335,POINT (-123.37335 48.41661)
17,100024,Fairfield Rd at Blanshard St Bay B,48.42124,-123.36353,POINT (-123.36353 48.42124)
18,100025,Fairfield Rd at Blanshard St Bay A,48.42189,-123.36409,POINT (-123.36409 48.42189)
19,100028,Fort St at Wharf St,48.42499,-123.36924,POINT (-123.36924 48.42499)
20,100029,Legislature Exch Bay C,48.41897,-123.36896,POINT (-123.36896 48.41897)
21,100030,Oswego St at Michigan St,48.41874,-123.37713,POINT (-123.37713 48.41874)
22,100031,Menzies St at Toronto St,48.41556,-123.37371,POINT (-123.37371 48.41556)
23,100032,Douglas St at Fort St,48.42437,-123.36532,POINT (-123.36532 48.42437)
24,100033,Fort St at Douglas St,48.4245,-123.36458,POINT (-123.36458 48.4245)
25,100034,Douglas St at Fort St,48.42496,-123.36535,POINT (-123.36535 48.42496)
26,100035,Fairfield Rd at Quadra St,48.42021,-123.36075,POINT (-123.36075 48.42021)
27,100036,Menzies St at Simcoe St,48.41497,-123.37449,POINT (-123.37449 48.41497)
28,100037,Douglas St at Avalon Rd,48.41487,-123.36631,POINT (-123.36631 48.41487)
29,100039,Fairfield Rd at Quadra St,48.42019,-123.36101,POINT (-123.36101 48.42019)
30,100042,Douglas St at View St,48.42555,-123.36518,POINT (-123.36518 48.42555)
31,100044,Oswego St at St James St,48.41706,-123.37896,POINT (-123.37896 48.41706)
32,100045,Fort St at Blanshard St,48.42417,-123.36183,POINT (-123.36183 48.42417)
33,100046,Douglas St at Simcoe St,48.41358,-123.36728,POINT (-123.36728 48.41358)
34,100047,Wharf St at Yates St,48.42709,-123.3705,POINT (-123.3705 48.42709)
35,100048,Yates St at Douglas St,48.42644,-123.36571,POINT (-123.36571 48.42644)
36,100049,Niagara St at Menzies St,48.41369,-123.37523,POINT (-123.37523 48.41369)
37,100050,Government St at Johnson St,48.42723,-123.36724,POINT (-123.36724 48.42723)
38,100051,Douglas St at Johnson St,48.42671,-123.36467,POINT (-123.36467 48.42671)
39,100052,Niagara St at Menzies St,48.41358,-123.37529,POINT (-123.37529 48.41358)
40,100053,Johnson St at Wharf St,48.42775,-123.3697,POINT (-123.3697 48.42775)
41,100054,Niagara St at Clarence St,48.41299,-123.37375,POINT (-123.37375 48.41299)
42,100055,Johnson St at Broad St,48.42725,-123.36563,POINT (-123.36563 48.42725)
43,100056,Fairfield Rd at Vancouver St,48.41836,-123.35866,POINT (-123.35866 48.41836)
44,100058,Niagara St at Clarence St,48.41282,-123.37367,POINT (-123.37367 48.41282)
45,100061,Gorge Rd W at Millgrove St,48.44675,-123.39554,POINT (-123.39554 48.44675)
46,100062,Vancouver St at Collinson St,48.41889,-123.35822,POINT (-123.35822 48.41889)
47,100063,Johnson St at Douglas St,48.42705,-123.36398,POINT (-123.36398 48.42705)
48,100064,Fort St at Quadra St,48.42389,-123.35922,POINT (-123.35922 48.42389)
49,100065,Niagara St at Government St,48.41224,-123.37211,POINT (-123.37211 48.41224)
50,100067,Otter Point Rd at Butler Rd,48.39484,-123.77279,POINT (-123.77279 48.39484)
51,100068,Yates St at Quadra St,48.42585,-123.36044,POINT (-123.36044 48.42585)
52,100069,Quadra St at View St,48.42442,-123.35951,POINT (-123.35951 48.42442)
53,100071,University Dr at Ring Rd,48.45977,-123.31452,POINT (-123.31452 48.45977)
54,100072,Niagara St at Government St,48.41193,-123.37181,POINT (-123.37181 48.41193)
55,100073,Fairfield Rd at Vancouver St,48.41838,-123.35801,POINT (-123.35801 48.41838)
56,100075,Richardson St at Vancouver St,48.41996,-123.35749,POINT (-123.35749 48.41996)
57,100076,Douglas St at Pandora Ave,48.42771,-123.36446,POINT (-123.36446 48.42771)
58,100077,Pandora Ave at Store St,48.4286,-123.36812,POINT (-123.36812 48.4286)
